"","cond","SID","value","article_number"
"779","self","s621","My wife, and other women in my life, would benefit from this information.",52
"780","self","s622","the article is quite educative and informative",48
"781","social","s623","This is in order to point out the need for recycling and the mistake that humans make when recycling",69
"782","self","s624","I like to move and I want to do all I can in order to keep my brain power.",14
"783","social","s626","The article is about the girl who became climate activist.",65
"784","social","s627","Climate change is drastically and devastatingly affecting our lives",15
"785","self","s628","This article is about  how would we build strength.",48
"786","self","s629","Mining is very useful for the economical growth of the nation.",21
"787","self","s630","it is about snake oil thatswhy it becomes a matter",88
"788","social","s631","Not anything new, but it's nice to see a new study and some real before-and-after results.",94
"789","social","s634","Reasons why people should eat more fish.",30
"790","self","s635","I have been considering going vegan for almost a year now and this makes me think twice about it.",26
"791","self","s636","This would make me run harder, faster, longer to try to compete with others to see how well we can do.",62
"792","self","s638","This Article is about the proteins that are available in green plants and that why Japanese took more  plant proteins and lived well.",64
"793","social","s639","Many topics were covered at the SF ClimateTECH Conference which would be of interest to many people I know.",81
"794","self","s640","I personally have the heat wave to affect the world...",91
